;reference;preco;endereco;localizacao;metragem;quartos;garagens;banheiro
14684;ref: 265676;R$ 560.000;rua attilio bilibio;Jardim Carvalho, Porto Alegre - RS;55m²;2;1;2
14685;ref: 265749;R$ 260.000;avenida antonio carvalho;Alto Petrópolis, Porto Alegre - RS;59m²;2;1;1
14686;ref: 265770;R$ 185.000;rua general camara;Centro Histórico, Porto Alegre - RS;33m²;1;;1
14687;ref: 265839;R$ 350.000;avenida general raphael zippin;Sarandi, Porto Alegre - RS;68m²;3;1;1
14688;ref: 265883;R$ 280.000;avenida alberto bins;Centro Histórico, Porto Alegre - RS;47m²;1;;1
14689;ref: 265911;R$ 290.000;rua luiz de camoes;Santo Antônio, Porto Alegre - RS;70m²;3;1;1
14690;ref: 266082;R$ 185.000;avenida juscelino kubitschek de oliveira;Protásio Alves, Porto Alegre - RS;43m²;2;1;1
14691;ref: 264962;R$ 340.000;avenida otto niemeyer;Tristeza, Porto Alegre - RS;44m²;2;1;1
14692;ref: 264969;R$ 230.000;avenida otto niemeyer;Tristeza, Porto Alegre - RS;45m²;2;1;1
14693;ref: 265137;R$ 190.000;rua professor pedro santa helena;Jardim do Salso, Porto Alegre - RS;60m²;2;;1
14694;ref: 265143;R$ 150.000;rua alvaro chaves;Floresta, Porto Alegre - RS;25m²;1;;1
14695;ref: 265148;R$ 155.000;rua sepe tiaraju;Medianeira, Porto Alegre - RS;40m²;1;1;1
14696;ref: 265162;R$ 960.000;rua walir zottis;Jardim Planalto, Porto Alegre - RS;147m²;3;2;3
14697;ref: 265241;R$ 460.000;avenida da cavalhada;Cavalhada, Porto Alegre - RS;71m²;3;1;2
14698;ref: 265471;R$ 310.000;avenida farrapos;Floresta, Porto Alegre - RS;94m²;3;;1
14699;ref: 265528;R$ 340.000;avenida da cavalhada;Cavalhada, Porto Alegre - RS;60m²;2;1;1
14700;ref: 265529;R$ 85.000;estrada barro vermelho;Restinga, Porto Alegre - RS;45m²;2;1;1
